Fecha;Ahuyama;Ajo;Arverja;Cebolla Cabezona;Cebolla junca;Cilantro;Cebada;Maiz;Frijol;Habichuela;Lechuga;Perejil;Pimenton;Repollo blanco;Tomate;Banano;Lulo;Mora;Papaya;Patilla;Pinna;Arracacha;Papa;Plátano;Yuca
04/01/2013;676;3243;2158;933;920;5569;1760;2040;1481;961;1186;5986;1533;507;1085;722;1749;1497;1063;600;625;1130;814;1291;1240
11/01/2013;652;3268;1921;823;665;7317;1680;1920;1578;1228;1146;5979;1106;510;913;819;1732;1638;1093;600;632;1149;799;1163;1108
12/01/2013;614;3298;1761;718;724;6250;1840;1947;1630;1484;1029;5823;1029;513;1167;762;1576;1843;1041;607;579;1067;781;1103;856
19/01/2013;636;3384;1750;700;604;3854;1653;1947;1599;1624;1013;4750;1274;530;1324;799;1650;1970;1034;663;635;1075;783;1158;836
26/01/2013;619;3400;1905;625;646;4333;1653;1920;1451;1272;876;4000;1393;488;1057;967;1599;2067;1073;698;626;1013;787;1075;846
02/02/2013;620;3332;1892;630;657;6833;1707;1893;1719;1391;904;4698;1910;492;1051;1152;1881;2304;1200;727;716;979;735;1140;833
09/02/2013;632;3384;1711;633;622;7719;1653;1960;1667;1604;919;4250;2234;480;1011;1156;1992;2527;1206;719;684;1048;723;1180;866
16/02/2013;600;3393;1893;575;668;9619;1667;1920;1830;1951;1098;5177;2378;480;1152;1177;1965;2937;1295;703;702;925;719;1520;804
23/02/2013;581;3450;1975;506;623;;1808;2028;1773;1820;1172;;1843;481;826;1227;1978;2480;1249;688;686;1016;715;1631;878
02/03/2013;600;3520;3520;575;689;;1747;1960;2368;1624;1496;6156;1880;477;958;1163;2189;1703;1200;625;730;1089;818;1680;847
09/03/2013;600;3496;2417;528;622;;1806;2057;1950;1813;1694;1769;1769;484;934;1124;2202;2058;1200;600;653;997;928;1480;858
16/03/2013;594;3461;2107;500;612;3760;1656;1947;2425;1481;1634;5417;1894;477;1521;1099;2248;2388;1200;658;612;921;904;1314;833
23/03/2013;591;3460;2406;500;664;4000;1656;1948;2467;1388;1531;5792;2230;477;1830;1150;1863;2935;1163;676;572;1107;879;1360;833
05/04/2013;542;3560;2250;550;651;4000;1709;1947;2338;1423;1464;6000;2470;500;1942;1117;2095;3105;1099;713;632;1099;880;1313;833
06/04/2013;543;3600;2053;533;778;3302;1709;1947;1943;1324;1255;5767;2380;510;1761;1129;2158;3610;1053;972;645;952;868;1253;804
13/04/2013;564;3547;2325;408;668;3685;1707;1947;1771;1310;1181;5019;1646;510;1962;1086;2417;3361;1042;977;683;946;860;1228;830
