;Fecha;Ahuyama;Arverja;Cebolla.Cabezona;Cebolla.junca;Cilantro;Cebada;Maiz;Frijol;Habichuela;Lechuga;Perejil;Pimenton;Tomate;Banano;Lulo;Papaya;Pinna;Arracacha;Papa;Plátano;Yuca
1;04/01/2013;676;2158;933;920;5569;1760;2040;1481;961;1186;5986;1533;1085;722;1749;1063;625;1130;814;1291;1240
2;11/01/2013;652;1921;823;665;7317;1680;1920;1578;1228;1146;5979;1106;913;819;1732;1093;632;1149;799;1163;1108
3;12/01/2013;614;1761;718;724;6250;1840;1947;1630;1484;1029;5823;1029;1167;762;1576;1041;579;1067;781;1103;856
4;19/01/2013;636;1750;700;604;3854;1653;1947;1599;1624;1013;4750;1274;1324;799;1650;1034;635;1075;783;1158;836
5;26/01/2013;619;1905;625;646;4333;1653;1920;1451;1272;876;4000;1393;1057;967;1599;1073;626;1013;787;1075;846
6;02/02/2013;620;1892;630;657;6833;1707;1893;1719;1391;904;4698;1910;1051;1152;1881;1200;716;979;735;1140;833
7;09/02/2013;632;1711;633;622;7719;1653;1960;1667;1604;919;4250;2234;1011;1156;1992;1206;684;1048;723;1180;866
8;16/02/2013;600;1893;575;668;9619;1667;1920;1830;1951;1098;5177;2378;1152;1177;1965;1295;702;925;719;1520;804
9;23/02/2013;581;1975;506;623;6833;1808;2028;1773;1820;1172;4250;1843;826;1227;1978;1249;686;1016;715;1631;878
10;02/03/2013;600;3520;575;689;5833;1747;1960;2368;1624;1496;6156;1880;958;1163;2189;1200;730;1089;818;1680;847
11;09/03/2013;600;2417;528;622;5833;1806;2057;1950;1813;1694;1769;1769;934;1124;2202;1200;653;997;928;1480;858
12;16/03/2013;594;2107;500;612;3760;1656;1947;2425;1481;1634;5417;1894;1521;1099;2248;1200;612;921;904;1314;833
13;23/03/2013;591;2406;500;664;4000;1656;1948;2467;1388;1531;5792;2230;1830;1150;1863;1163;572;1107;879;1360;833
14;05/04/2013;542;2250;550;651;4000;1709;1947;2338;1423;1464;6000;2470;1942;1117;2095;1099;632;1099;880;1313;833
15;06/04/2013;543;2053;533;778;3302;1709;1947;1943;1324;1255;5767;2380;1761;1129;2158;1053;645;952;868;1253;804
16;13/04/2013;564;2325;408;668;3685;1707;1947;1771;1310;1181;5019;1646;1962;1086;2417;1042;683;946;860;1228;830
17;20/04/2013;544;2128;416;633;3052;1813;1947;1850;1240;1093;4615;1831;2253;1106;2565;1008;706;1063;953;1129;830
18;27/04/2013;511;2171;408;595;2750;1813;1947;1958;1110;1030;4604;1761;2364;1097;2521;1000;689;1078;1041;1221;820
19;04/05/2013;500;2233;540;680;2713;1760;1940;2186;1332;1113;4648;2262;2298;1097;2623;917;742;1104;1119;1161;781
20;11/05/2013;500;2450;470;626;7806;1763;1960;1771;1290;1023;4229;2137;1455;1101;2519;900;730;1138;1148;1180;833
21;25/05/2013;500;2783;407;763;10354;1707;1909;1660;1510;1062;4000;1904;920;1108;2544;927;668;1060;1000;1154;786
22;28/05/2013;500;2336;404;639;8792;1763;1947;1406;1141;1087;4000;1972;1027;1108;2560;946;689;1051;1066;1132;817
23;05/06/2013;500;2933;625;807;7427;1760;1920;1518;1795;1082;4750;1726;1187;1096;2538;975;693;1100;976;1231;833
24;08/06/2013;511;3092;628;848;5542;1760;1947;1504;1864;1082;4229;1694;1149;1144;2670;1098;669;1069;999;1207;733
25;15/06/2013;535;3378;675;880;3323;1680;1876;1467;1416;1092;4500;1748;1055;1176;2568;1182;666;1112;978;1228;714
26;22/06/2013;519;3025;733;849;3000;1680;1845;1465;935;1008;4000;1840;883;1160;2448;1200;634;1013;979;1189;678
27;29/06/2013;519;2707;1007;937;3000;1680;1845;1272;629;1000;3854;1802;1144;1146;2496;1221;714;1024;983;1250;769
28;06/07/2013;521;2572;1173;859;4563;1707;1904;1227;911;972;3917;1667;1499;1113;2412;1244;720;979;985;1186;738
29;13/07/2013;522;2986;1010;984;5010;1656;1903;1214;1194;985;4000;1559;1270;1106;2237;1242;675;920;975;1199;693
30;20/07/2013;505;2925;975;903;6406;1707;1903;1138;1140;960;3896;1386;1366;1092;2017;1255;674;1130;926;1226;682
31;27/07/2013;505;2458;845;850;7625;1709;1903;1357;1102;994;3375;1045;1238;1097;1972;1235;647;1070;928;1231;696
